NTBEA[8][20][0.3][500],OSLAPlayer
721,268,11
NTBEA[8][5][0.3][500],OSLAPlayer
733,250,17
NTBEA[8][10][0.3][500],OSLAPlayer
733,254,13
NTBEA[8][50][0.3][500],OSLAPlayer
668,309,23
NTBEA[8][120][0.3][500],OSLAPlayer
569,410,21
NTBEA[8][20][0.05][500],OSLAPlayer
730,248,22
NTBEA[8][20][0.15][500],OSLAPlayer
731,257,12
NTBEA[8][20][0.55][500],OSLAPlayer
772,216,12
NTBEA[8][20][0.8][500],OSLAPlayer
727,254,19
NTBEA[8][20][0.3][50],OSLAPlayer
736,245,19
NTBEA[8][20][0.3][100],OSLAPlayer
733,249,18
NTBEA[8][20][0.3][1000],OSLAPlayer
744,244,12
NTBEA[8][20][0.3][3000],OSLAPlayer
720,266,14
